stage,firstname,lastname,team,country
1,Yves,Lampaert,Quick-Step Alpha Vinyl,🇧🇪
2,Fabio,Jakobsen,Quick-Step Alpha Vinyl,🇳🇱
3,Dylan,Groenewegen,BikeExchange-Jayco,🇳🇱
4,Wout,van Aert,Jumbo-Visma,🇧🇪
5,Simon,Clarke,Israel-Premier Tech,🇦🇺
6,Tadej,Pogačar,UAE Team Emirates,🇸🇮
7,Tadej,Pogačar,UAE Team Emirates,🇸🇮
8,Wout,van Aert,Jumbo-Visma,🇧🇪
9,Bob,Jungels,Ag2r Citroen,🇱🇺
10,Magnus,cort Nielsen,EF Education-Easypost,🇩🇰
11,Jonas,Vingegaard,Jumbo-Visma,🇩🇰
12,Tim,Pidcock,Ineos Grenadiers,🇬🇧
13,Mads,Pedersen,Trek-Segafredo,🇩🇰
14,Michael,Matthews,BikeExchange-Jayco,🇦🇺
15,Jasper,Philipsen,Alpecin-Deceuninck,🇧🇪
16,Harry,Houle,Israel-Premier Tech,🇨🇦
17,Tadej,Pogačar,UAE Team Emirates,🇸🇮
18,Jonas,Vingegaard,Jumbo-Visma,🇩🇰
19,Christophe,Laporte,Jumbo-Visma,🇫🇷
20,Wout,van Aert,Jumbo-Visma,🇧🇪
21,Jasper,Philipsen,Alpecin-Deceuninck,🇧🇪
